"","agency_name","agency_title","person","employer","start_date","end_date","title","firm_conservatism","bachelors","masters","law","doctorate","law_rank","law_conservative_score","federalist_society","heritage_foundation"
"1","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Brownstein Hyatt Farber Schreck LLP",2017,NA,"Partner in Law Firm",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"2","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Qualcomm Inc.",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"3","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Ares Management LP",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"4","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Baxter Healthcare",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"5","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Anthem, Inc.",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"6","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Papersource Manufacturing & Converting",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"7","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Complete Control Management",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"8","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Ultimate Fighting Championship",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"9","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Ardent Health Services",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"10","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Medical Device Manufacturers Association",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"11","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Brentwood School",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"12","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Flexjet, LLC",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"13","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Mentor Network",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"14","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Jacob Khobian",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"15","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Caesars Interactive Entertainment, Inc.",2017,NA,"Legal Services",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"16","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Brownstein Hyatt Farber Schreck LLP",2017,NA,"Partner/Shareh older",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"17","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Pepperdine University School of Law",2017,NA,"Adjunct Professsor of Law",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"18","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Trump for America, Inc.",2017,NA,"Attorney",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"19","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","World Poker Tour Foundation, Inc.",2017,NA,"Board Member",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"20","Justice","Assistant Attorney General for the Antitrust Division","Makan Delrahim","Preconcile, LLC",2017,NA,"Co-Founder",NA,"University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112,1,NA
"21","Justice","Attorney General","Jefferson B. Sessions","Samford University",NA,NA,"Member of Board of Overseers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Justice","Principal Deputy Solicitor General","Noel Francisco","Jones Day LLP",2017,NA,"legal services to firm clients, management of Government Regulations Group",NA,"University of Chicago",NA,"University of Chicago Law School",NA,4,108,1,1
"23","Justice","Principal Deputy Solicitor General","Noel Francisco","Boeing Company",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago Law School",NA,4,108,1,1
"24","Justice","Principal Deputy Solicitor General","Noel Francisco","Christian Educators Association",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago Law School",NA,4,108,1,1
"25","Justice","Principal Deputy Solicitor General","Noel Francisco","Community Financial Services Association of America",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago Law School",NA,4,108,1,1
"26","Justice","Principal Deputy Solicitor General","Noel Francisco","HCA, Inc",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago Law School",NA,4,108,1,1
"27","Justice","Principal Deputy Solicitor General","Noel Francisco","International Business Machines Corporation",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago Law School",NA,4,108,1,1
"28","Justice","Principal Deputy Solicitor General","Noel Francisco","The Internet Corporation for Assigned Names and Numbers",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago Law School",NA,4,108,1,1
"29","Justice","Principal Deputy Solicitor General","Noel Francisco","Loma Linda University Adventist Health Sciences",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago Law School",NA,4,108,1,1
"30","Justice","Principal Deputy Solicitor General","Noel Francisco","Reynolds American, Inc.",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago Law School",NA,4,108,1,1
"31","Justice","Principal Deputy Solicitor General","Noel Francisco","R.J. Reynolds Tobacco Company",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago Law School",NA,4,108,1,1
"32","Justice","Principal Deputy Solicitor General","Noel Francisco","The Museum of the Bible",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago Law School",NA,4,108,1,1
